ERR_CLS,"HDF5 error class"
DATASET,"Dataset"
FUNC,"Function entry/exit"
STORAGE,"Data storage"
FILE,"File accessibilty"
SOHM,"Shared Object Header Messages"
SYM,"Symbol table"
PLUGIN,"Plugin for dynamically loaded library"
VFL,"Virtual File Layer"
INTERNAL,"Internal error (too specific to document in detail)"
BTREE,"B-Tree node"
REFERENCE,"References"
DATASPACE,"Dataspace"
RESOURCE,"Resource unavailable"
PLIST,"Property lists"
LINK,"Links"
DATATYPE,"Datatype"
RS,"Reference Counted Strings"
HEAP,"Heap"
OHDR,"Object header"
ATOM,"Object atom"
ATTR,"Attribute"
NONE_MAJOR,"No error"
IO,"Low-level I/O"
SLIST,"Skip Lists"
EFL,"External file list"
TST,"Ternary Search Trees"
ARGS,"Invalid arguments to routine"
ERROR,"Error API"
PLINE,"Data filters"
FSPACE,"Free Space Manager"
CACHE,"Object cache"
EARRAY,"Extensible Array"
FARRAY,"Fixed Array"
SEEKERROR,"Seek failed"
READERROR,"Read failed"
WRITEERROR,"Write failed"
CLOSEERROR,"Close failed"
OVERFLOW,"Address overflowed"
FCNTL,"File control (fcntl) failed"
NOSPACE,"No space available for allocation"
CANTALLOC,"Can't allocate space"
CANTCOPY,"Unable to copy object"
CANTFREE,"Unable to free object"
ALREADYEXISTS,"Object already exists"
CANTLOCK,"Unable to lock object"
CANTUNLOCK,"Unable to unlock object"
CANTGC,"Unable to garbage collect"
CANTGETSIZE,"Unable to compute size"
OBJOPEN,"Object is already open"
CANTRESTORE,"Can't restore condition"
CANTCOMPUTE,"Can't compute value"
CANTEXTEND,"Can't extend heap's space"
CANTATTACH,"Can't attach object"
CANTUPDATE,"Can't update object"
CANTOPERATE,"Can't operate on object"
CANTINIT,"Unable to initialize object"
ALREADYINIT,"Object already initialized"
CANTRELEASE,"Unable to release object"
CANTGET,"Can't get value"
CANTSET,"Can't set value"
DUPCLASS,"Duplicate class name in parent class"
SETDISALLOWED,"Disallowed operation"
CANTMERGE,"Can't merge objects"
CANTREVIVE,"Can't revive object"
CANTSHRINK,"Can't shrink container"
LINKCOUNT,"Bad object header link count"
VERSION,"Wrong version number"
ALIGNMENT,"Alignment error"
BADMESG,"Unrecognized message"
CANTDELETE,"Can't delete message"
BADITER,"Iteration failed"
CANTPACK,"Can't pack messages"
CANTRESET,"Can't reset object"
CANTRENAME,"Unable to rename object"
SYSERRSTR,"System error message"
NOFILTER,"Requested filter is not available"
CALLBACK,"Callback failed"
CANAPPLY,"Error from filter 'can apply' callback"
SETLOCAL,"Error from filter 'set local' callback"
NOENCODER,"Filter present but encoding disabled"
CANTFILTER,"Filter operation failed"
CANTOPENOBJ,"Can't open object"
CANTCLOSEOBJ,"Can't close object"
COMPLEN,"Name component is too long"
PATH,"Problem with path to object"
NONE_MINOR,"No error"
OPENERROR,"Can't open directory or file"
FILEEXISTS,"File already exists"
FILEOPEN,"File already open"
CANTCREATE,"Unable to create file"
CANTOPENFILE,"Unable to open file"
CANTCLOSEFILE,"Unable to close file"
NOTHDF5,"Not an HDF5 file"
BADFILE,"Bad file ID accessed"
TRUNCATED,"File has been truncated"
MOUNT,"File mount error"
BADATOM,"Unable to find atom information (already closed?)"
BADGROUP,"Unable to find ID group information"
CANTREGISTER,"Unable to register new atom"
CANTINC,"Unable to increment reference count"
CANTDEC,"Unable to decrement reference count"
NOIDS,"Out of IDs for group"
CANTFLUSH,"Unable to flush data from cache"
CANTSERIALIZE,"Unable to serialize data from cache"
CANTLOAD,"Unable to load metadata into cache"
PROTECT,"Protected metadata error"
NOTCACHED,"Metadata not currently cached"
SYSTEM,"Internal error detected"
CANTINS,"Unable to insert metadata into cache"
CANTPROTECT,"Unable to protect metadata"
CANTUNPROTECT,"Unable to unprotect metadata"
CANTPIN,"Unable to pin cache entry"
CANTUNPIN,"Unable to un-pin cache entry"
CANTMARKDIRTY,"Unable to mark a pinned entry as dirty"
CANTDIRTY,"Unable to mark metadata as dirty"
CANTEXPUNGE,"Unable to expunge a metadata cache entry"
CANTRESIZE,"Unable to resize a metadata cache entry"
CANTDEPEND,"Unable to create a flush dependency"
CANTUNDEPEND,"Unable to destroy a flush dependency"
CANTNOTIFY,"Unable to notify object about action"
LOGFAIL,"Failure in the cache logging framework"
CANTCORK,"Unable to cork an object"
CANTUNCORK,"Unable to uncork an object"
TRAVERSE,"Link traversal failure"
NLINKS,"Too many soft links in path"
NOTREGISTERED,"Link class not registered"
CANTMOVE,"Can't move object"
CANTSORT,"Can't sort objects"
MPI,"Some MPI function failed"
MPIERRSTR,"MPI Error String"
CANTRECV,"Can't receive data"
CANTCLIP,"Can't clip hyperslab region"
CANTCOUNT,"Can't count elements"
CANTSELECT,"Can't select hyperslab"
CANTNEXT,"Can't move to next iterator location"
BADSELECT,"Invalid selection"
CANTCOMPARE,"Can't compare objects"
CANTAPPEND,"Can't append object"
UNINITIALIZED,"Information is uinitialized"
UNSUPPORTED,"Feature is unsupported"
BADTYPE,"Inappropriate type"
BADRANGE,"Out of range"
BADVALUE,"Bad value"
NOTFOUND,"Object not found"
EXISTS,"Object already exists"
CANTENCODE,"Unable to encode value"
CANTDECODE,"Unable to decode value"
CANTSPLIT,"Unable to split node"
CANTREDISTRIBUTE,"Unable to redistribute records"
CANTSWAP,"Unable to swap records"
CANTINSERT,"Unable to insert object"
CANTLIST,"Unable to list node"
CANTMODIFY,"Unable to modify record"
CANTREMOVE,"Unable to remove object"
CANTCONVERT,"Can't convert datatypes"
BADSIZE,"Bad size for object"